"V1" "V2" "V3" "V1.1" "V2.1" "V6"
"Fer" "ENSMUSG00000000127_Fer" "protein_coding" "17" "ENSMUSG00000000127" "Fer" "Fer"
"Xpo6" "ENSMUSG00000000131_Xpo6" "protein_coding" "7" "ENSMUSG00000000131" "Xpo6" "Xpo6"
"Tfe3" "ENSMUSG00000000134_Tfe3" "protein_coding" "X" "ENSMUSG00000000134" "Tfe3" "Tfe3"
"Axin2" "ENSMUSG00000000142_Axin2" "protein_coding" "11" "ENSMUSG00000000142" "Axin2" "Axin2"
"Brat1" "ENSMUSG00000000148_Brat1" "protein_coding" "5" "ENSMUSG00000000148" "Brat1" "Brat1"
"Gna12" "ENSMUSG00000000149_Gna12" "protein_coding" "5" "ENSMUSG00000000149" "Gna12" "Gna12"
"Slc22a18" "ENSMUSG00000000154_Slc22a18" "protein_coding" "7" "ENSMUSG00000000154" "Slc22a18" "Slc22a18"
"Igsf5" "ENSMUSG00000000159_Igsf5" "protein_coding" "16" "ENSMUSG00000000159" "Igsf5" "Igsf5"
"Pih1d2" "ENSMUSG00000000167_Pih1d2" "protein_coding" "9" "ENSMUSG00000000167" "Pih1d2" "Pih1d2"
"Dlat" "ENSMUSG00000000168_Dlat" "protein_coding" "9" "ENSMUSG00000000168" "Dlat" "Dlat"
"Sdhd" "ENSMUSG00000000171_Sdhd" "protein_coding" "9" "ENSMUSG00000000171" "Sdhd" "Sdhd"
"Fgf23" "ENSMUSG00000000182_Fgf23" "protein_coding" "6" "ENSMUSG00000000182" "Fgf23" "Fgf23"
"Fgf6" "ENSMUSG00000000183_Fgf6" "protein_coding" "6" "ENSMUSG00000000183" "Fgf6" "Fgf6"
"Ccnd2" "ENSMUSG00000000184_Ccnd2" "protein_coding" "6" "ENSMUSG00000000184" "Ccnd2" "Ccnd2"
"Gpr107" "ENSMUSG00000000194_Gpr107" "protein_coding" "2" "ENSMUSG00000000194" "Gpr107" "Gpr107"
"Nalcn" "ENSMUSG00000000197_Nalcn" "protein_coding" "14" "ENSMUSG00000000197" "Nalcn" "Nalcn"
"Btbd17" "ENSMUSG00000000202_Btbd17" "protein_coding" "11" "ENSMUSG00000000202" "Btbd17" "Btbd17"
"Slfn4" "ENSMUSG00000000204_Slfn4" "protein_coding" "11" "ENSMUSG00000000204" "Slfn4" "Slfn4"
"Th" "ENSMUSG00000000214_Th" "protein_coding" "7" "ENSMUSG00000000214" "Th" "Th"
"Ins2" "ENSMUSG00000000215_Ins2" "protein_coding" "7" "ENSMUSG00000000215" "Ins2" "Ins2"
"Scnn1g" "ENSMUSG00000000216_Scnn1g" "protein_coding" "7" "ENSMUSG00000000216" "Scnn1g" "Scnn1g"
"Drp2" "ENSMUSG00000000223_Drp2" "protein_coding" "X" "ENSMUSG00000000223" "Drp2" "Drp2"
"Tspan32" "ENSMUSG00000000244_Tspan32" "protein_coding" "7" "ENSMUSG00000000244" "Tspan32" "Tspan32"
"Lhx2" "ENSMUSG00000000247_Lhx2" "protein_coding" "2" "ENSMUSG00000000247" "Lhx2" "Lhx2"
"Clec2g" "ENSMUSG00000000248_Clec2g" "protein_coding" "6" "ENSMUSG00000000248" "Clec2g" "Clec2g"
"Gmpr" "ENSMUSG00000000253_Gmpr" "protein_coding" "13" "ENSMUSG00000000253" "Gmpr" "Gmpr"
"Glra1" "ENSMUSG00000000263_Glra1" "protein_coding" "11" "ENSMUSG00000000263" "Glra1" "Glra1"
"Mid2" "ENSMUSG00000000266_Mid2" "protein_coding" "X" "ENSMUSG00000000266" "Mid2" "Mid2"
"Trim25" "ENSMUSG00000000275_Trim25" "protein_coding" "11" "ENSMUSG00000000275" "Trim25" "Trim25"
"Dgke" "ENSMUSG00000000276_Dgke" "protein_coding" "11" "ENSMUSG00000000276" "Dgke" "Dgke"
"Scpep1" "ENSMUSG00000000278_Scpep1" "protein_coding" "11" "ENSMUSG00000000278" "Scpep1" "Scpep1"
"Mnt" "ENSMUSG00000000282_Mnt" "protein_coding" "11" "ENSMUSG00000000282" "Mnt" "Mnt"
"Itgb2" "ENSMUSG00000000290_Itgb2" "protein_coding" "10" "ENSMUSG00000000290" "Itgb2" "Itgb2"
"Hddc2" "ENSMUSG00000000295_Hddc2" "protein_coding" "10" "ENSMUSG00000000295" "Hddc2" "Hddc2"
"Tpd52l1" "ENSMUSG00000000296_Tpd52l1" "protein_coding" "10" "ENSMUSG00000000296" "Tpd52l1" "Tpd52l1"
"Pemt" "ENSMUSG00000000301_Pemt" "protein_coding" "11" "ENSMUSG00000000301" "Pemt" "Pemt"
"Cdh1" "ENSMUSG00000000303_Cdh1" "protein_coding" "8" "ENSMUSG00000000303" "Cdh1" "Cdh1"
"Cdh4" "ENSMUSG00000000305_Cdh4" "protein_coding" "2" "ENSMUSG00000000305" "Cdh4" "Cdh4"
"Ckmt1" "ENSMUSG00000000308_Ckmt1" "protein_coding" "2" "ENSMUSG00000000308" "Ckmt1" "Ckmt1"
"Bcl6b" "ENSMUSG00000000317_Bcl6b" "protein_coding" "11" "ENSMUSG00000000317" "Bcl6b" "Bcl6b"
"Clec10a" "ENSMUSG00000000318_Clec10a" "protein_coding" "11" "ENSMUSG00000000318" "Clec10a" "Clec10a"
"Alox12" "ENSMUSG00000000320_Alox12" "protein_coding" "11" "ENSMUSG00000000320" "Alox12" "Alox12"
"Arvcf" "ENSMUSG00000000325_Arvcf" "protein_coding" "16" "ENSMUSG00000000325" "Arvcf" "Arvcf"
"Comt" "ENSMUSG00000000326_Comt" "protein_coding" "16" "ENSMUSG00000000326" "Comt" "Comt"
"Rtca" "ENSMUSG00000000339_Rtca" "protein_coding" "3" "ENSMUSG00000000339" "Rtca" "Rtca"
"Dbt" "ENSMUSG00000000340_Dbt" "protein_coding" "3" "ENSMUSG00000000340" "Dbt" "Dbt"
"Dazap2" "ENSMUSG00000000346_Dazap2" "protein_coding" "15" "ENSMUSG00000000346" "Dazap2" "Dazap2"
"Mcts1" "ENSMUSG00000000355_Mcts1" "protein_coding" "X" "ENSMUSG00000000355" "Mcts1" "Mcts1"
"Rem1" "ENSMUSG00000000359_Rem1" "protein_coding" "2" "ENSMUSG00000000359" "Rem1" "Rem1"
"Rnf17" "ENSMUSG00000000365_Rnf17" "protein_coding" "14" "ENSMUSG00000000365" "Rnf17" "Rnf17"
"Trappc10" "ENSMUSG00000000374_Trappc10" "protein_coding" "10" "ENSMUSG00000000374" "Trappc10" "Trappc10"
"Ccm2" "ENSMUSG00000000378_Ccm2" "protein_coding" "11" "ENSMUSG00000000378" "Ccm2" "Ccm2"
"Tbrg4" "ENSMUSG00000000384_Tbrg4" "protein_coding" "11" "ENSMUSG00000000384" "Tbrg4" "Tbrg4"
"Tmprss2" "ENSMUSG00000000385_Tmprss2" "protein_coding" "16" "ENSMUSG00000000385" "Tmprss2" "Tmprss2"
"Fap" "ENSMUSG00000000392_Fap" "protein_coding" "2" "ENSMUSG00000000392" "Fap" "Fap"
"Gcg" "ENSMUSG00000000394_Gcg" "protein_coding" "2" "ENSMUSG00000000394" "Gcg" "Gcg"
"Ndufa9" "ENSMUSG00000000399_Ndufa9" "protein_coding" "6" "ENSMUSG00000000399" "Ndufa9" "Ndufa9"
"Egfl6" "ENSMUSG00000000402_Egfl6" "protein_coding" "X" "ENSMUSG00000000402" "Egfl6" "Egfl6"
"Lck" "ENSMUSG00000000409_Lck" "protein_coding" "4" "ENSMUSG00000000409" "Lck" "Lck"
"Cttnbp2" "ENSMUSG00000000416_Cttnbp2" "protein_coding" "6" "ENSMUSG00000000416" "Cttnbp2" "Cttnbp2"
"Galnt1" "ENSMUSG00000000420_Galnt1" "protein_coding" "18" "ENSMUSG00000000420" "Galnt1" "Galnt1"
"Myf5" "ENSMUSG00000000435_Myf5" "protein_coding" "10" "ENSMUSG00000000435" "Myf5" "Myf5"
"Mkrn2" "ENSMUSG00000000439_Mkrn2" "protein_coding" "6" "ENSMUSG00000000439" "Mkrn2" "Mkrn2"
"Pparg" "ENSMUSG00000000440_Pparg" "protein_coding" "6" "ENSMUSG00000000440" "Pparg" "Pparg"
"Raf1" "ENSMUSG00000000441_Raf1" "protein_coding" "6" "ENSMUSG00000000441" "Raf1" "Raf1"
"Sept1" "ENSMUSG00000000486_Sept1" "protein_coding" "7" "ENSMUSG00000000486" "Sept1" "Sept1"
"Pdgfb" "ENSMUSG00000000489_Pdgfb" "protein_coding" "15" "ENSMUSG00000000489" "Pdgfb" "Pdgfb"
"Acvrl1" "ENSMUSG00000000530_Acvrl1" "protein_coding" "15" "ENSMUSG00000000530" "Acvrl1" "Acvrl1"
"Grasp" "ENSMUSG00000000531_Grasp" "protein_coding" "15" "ENSMUSG00000000531" "Grasp" "Grasp"
"Acvr1b" "ENSMUSG00000000532_Acvr1b" "protein_coding" "15" "ENSMUSG00000000532" "Acvr1b" "Acvr1b"
"Tom1l2" "ENSMUSG00000000538_Tom1l2" "protein_coding" "11" "ENSMUSG00000000538" "Tom1l2" "Tom1l2"
"Gpa33" "ENSMUSG00000000544_Gpa33" "protein_coding" "1" "ENSMUSG00000000544" "Gpa33" "Gpa33"
"Zfp385a" "ENSMUSG00000000552_Zfp385a" "protein_coding" "15" "ENSMUSG00000000552" "Zfp385a" "Zfp385a"
"Itga5" "ENSMUSG00000000555_Itga5" "protein_coding" "15" "ENSMUSG00000000555" "Itga5" "Itga5"
"Gabra2" "ENSMUSG00000000560_Gabra2" "protein_coding" "5" "ENSMUSG00000000560" "Gabra2" "Gabra2"
"Wdr77" "ENSMUSG00000000561_Wdr77" "protein_coding" "3" "ENSMUSG00000000561" "Wdr77" "Wdr77"
"Adora3" "ENSMUSG00000000562_Adora3" "protein_coding" "3" "ENSMUSG00000000562" "Adora3" "Adora3"
"Atp5f1" "ENSMUSG00000000563_Atp5f1" "protein_coding" "3" "ENSMUSG00000000563" "Atp5f1" "Atp5f1"
"Sox9" "ENSMUSG00000000567_Sox9" "protein_coding" "11" "ENSMUSG00000000567" "Sox9" "Sox9"
"Hnrnpd" "ENSMUSG00000000568_Hnrnpd" "protein_coding" "5" "ENSMUSG00000000568" "Hnrnpd" "Hnrnpd"
"Dynlt1c" "ENSMUSG00000000579_Dynlt1c" "protein_coding" "17" "ENSMUSG00000000579" "Dynlt1c" "Dynlt1c"
"C1d" "ENSMUSG00000000581_C1d" "protein_coding" "11" "ENSMUSG00000000581" "C1d" "C1d"
"Gm2a" "ENSMUSG00000000594_Gm2a" "protein_coding" "11" "ENSMUSG00000000594" "Gm2a" "Gm2a"
"Krit1" "ENSMUSG00000000600_Krit1" "protein_coding" "5" "ENSMUSG00000000600" "Krit1" "Krit1"
"Clcn4" "ENSMUSG00000000605_Clcn4" "protein_coding" "7" "ENSMUSG00000000605" "Clcn4" "Clcn4"
"Vmn2r88" "ENSMUSG00000000606_Vmn2r88" "protein_coding" "14" "ENSMUSG00000000606" "Vmn2r88" "Vmn2r88"
"Grm6" "ENSMUSG00000000617_Grm6" "protein_coding" "11" "ENSMUSG00000000617" "Grm6" "Grm6"
"Sema4f" "ENSMUSG00000000627_Sema4f" "protein_coding" "6" "ENSMUSG00000000627" "Sema4f" "Sema4f"
"Hk2" "ENSMUSG00000000628_Hk2" "protein_coding" "6" "ENSMUSG00000000628" "Hk2" "Hk2"
"Myo18a" "ENSMUSG00000000631_Myo18a" "protein_coding" "11" "ENSMUSG00000000631" "Myo18a" "Myo18a"
"Sez6" "ENSMUSG00000000632_Sez6" "protein_coding" "11" "ENSMUSG00000000632" "Sez6" "Sez6"
"Haao" "ENSMUSG00000000673_Haao" "protein_coding" "17" "ENSMUSG00000000673" "Haao" "Haao"
"Cd52" "ENSMUSG00000000682_Cd52" "protein_coding" "4" "ENSMUSG00000000682" "Cd52" "Cd52"
"Abhd15" "ENSMUSG00000000686_Abhd15" "protein_coding" "11" "ENSMUSG00000000686" "Abhd15" "Abhd15"
"Hoxb6" "ENSMUSG00000000690_Hoxb6" "protein_coding" "11" "ENSMUSG00000000690" "Hoxb6" "Hoxb6"
"Loxl3" "ENSMUSG00000000693_Loxl3" "protein_coding" "6" "ENSMUSG00000000693" "Loxl3" "Loxl3"
"Tcl1b5" "ENSMUSG00000000701_Tcl1b5" "protein_coding" "12" "ENSMUSG00000000701" "Tcl1b5" "Tcl1b5"
"Btn1a1" "ENSMUSG00000000706_Btn1a1" "protein_coding" "13" "ENSMUSG00000000706" "Btn1a1" "Btn1a1"
"Kat2b" "ENSMUSG00000000708_Kat2b" "protein_coding" "17" "ENSMUSG00000000708" "Kat2b" "Kat2b"
"Rab5b" "ENSMUSG00000000711_Rab5b" "protein_coding" "10" "ENSMUSG00000000711" "Rab5b" "Rab5b"
"Cryba1" "ENSMUSG00000000724_Cryba1" "protein_coding" "11" "ENSMUSG00000000724" "Cryba1" "Cryba1"
"Dnmt3l" "ENSMUSG00000000730_Dnmt3l" "protein_coding" "10" "ENSMUSG00000000730" "Dnmt3l" "Dnmt3l"
"Aire" "ENSMUSG00000000731_Aire" "protein_coding" "10" "ENSMUSG00000000731" "Aire" "Aire"
"Icosl" "ENSMUSG00000000732_Icosl" "protein_coding" "10" "ENSMUSG00000000732" "Icosl" "Icosl"
"Spg7" "ENSMUSG00000000738_Spg7" "protein_coding" "8" "ENSMUSG00000000738" "Spg7" "Spg7"
"Sult5a1" "ENSMUSG00000000739_Sult5a1" "protein_coding" "8" "ENSMUSG00000000739" "Sult5a1" "Sult5a1"
"Rpl13" "ENSMUSG00000000740_Rpl13" "protein_coding" "8" "ENSMUSG00000000740" "Rpl13" "Rpl13"
"Chmp1a" "ENSMUSG00000000743_Chmp1a" "protein_coding" "8" "ENSMUSG00000000743" "Chmp1a" "Chmp1a"
"Rpa1" "ENSMUSG00000000751_Rpa1" "protein_coding" "11" "ENSMUSG00000000751" "Rpa1" "Rpa1"
"Serpinf1" "ENSMUSG00000000753_Serpinf1" "protein_coding" "11" "ENSMUSG00000000753" "Serpinf1" "Serpinf1"
"Tubgcp3" "ENSMUSG00000000759_Tubgcp3" "protein_coding" "8" "ENSMUSG00000000759" "Tubgcp3" "Tubgcp3"
"Oprm1" "ENSMUSG00000000766_Oprm1" "protein_coding" "10" "ENSMUSG00000000766" "Oprm1" "Oprm1"
"Polr3d" "ENSMUSG00000000776_Polr3d" "protein_coding" "14" "ENSMUSG00000000776" "Polr3d" "Polr3d"
"Tcf7" "ENSMUSG00000000782_Tcf7" "protein_coding" "11" "ENSMUSG00000000782" "Tcf7" "Tcf7"
"Ddx3x" "ENSMUSG00000000787_Ddx3x" "protein_coding" "X" "ENSMUSG00000000787" "Ddx3x" "Ddx3x"
"Il12rb1" "ENSMUSG00000000791_Il12rb1" "protein_coding" "8" "ENSMUSG00000000791" "Il12rb1" "Il12rb1"
"Slc5a5" "ENSMUSG00000000792_Slc5a5" "protein_coding" "8" "ENSMUSG00000000792" "Slc5a5" "Slc5a5"
"Kcnn3" "ENSMUSG00000000794_Kcnn3" "protein_coding" "3" "ENSMUSG00000000794" "Kcnn3" "Kcnn3"
"Usp32" "ENSMUSG00000000804_Usp32" "protein_coding" "11" "ENSMUSG00000000804" "Usp32" "Usp32"
"Car4" "ENSMUSG00000000805_Car4" "protein_coding" "11" "ENSMUSG00000000805" "Car4" "Car4"
"Txnrd3" "ENSMUSG00000000811_Txnrd3" "protein_coding" "6" "ENSMUSG00000000811" "Txnrd3" "Txnrd3"
"Fasl" "ENSMUSG00000000817_Fasl" "protein_coding" "1" "ENSMUSG00000000817" "Fasl" "Fasl"
"Zfp512b" "ENSMUSG00000000823_Zfp512b" "protein_coding" "2" "ENSMUSG00000000823" "Zfp512b" "Zfp512b"
"Dnajc5" "ENSMUSG00000000826_Dnajc5" "protein_coding" "2" "ENSMUSG00000000826" "Dnajc5" "Dnajc5"
"Tpd52l2" "ENSMUSG00000000827_Tpd52l2" "protein_coding" "2" "ENSMUSG00000000827" "Tpd52l2" "Tpd52l2"
"Fmr1" "ENSMUSG00000000838_Fmr1" "protein_coding" "X" "ENSMUSG00000000838" "Fmr1" "Fmr1"
"Bcl11a" "ENSMUSG00000000861_Bcl11a" "protein_coding" "11" "ENSMUSG00000000861" "Bcl11a" "Bcl11a"
"Il4" "ENSMUSG00000000869_Il4" "protein_coding" "11" "ENSMUSG00000000869" "Il4" "Il4"
"Pxmp4" "ENSMUSG00000000876_Pxmp4" "protein_coding" "2" "ENSMUSG00000000876" "Pxmp4" "Pxmp4"
"Dlg3" "ENSMUSG00000000881_Dlg3" "protein_coding" "X" "ENSMUSG00000000881" "Dlg3" "Dlg3"
"Gnb1l" "ENSMUSG00000000884_Gnb1l" "protein_coding" "16" "ENSMUSG00000000884" "Gnb1l" "Gnb1l"
"Dbh" "ENSMUSG00000000889_Dbh" "protein_coding" "2" "ENSMUSG00000000889" "Dbh" "Dbh"
"Mmp11" "ENSMUSG00000000901_Mmp11" "protein_coding" "10" "ENSMUSG00000000901" "Mmp11" "Mmp11"
"Smarcb1" "ENSMUSG00000000902_Smarcb1" "protein_coding" "10" "ENSMUSG00000000902" "Smarcb1" "Smarcb1"
"Vpreb3" "ENSMUSG00000000903_Vpreb3" "protein_coding" "10" "ENSMUSG00000000903" "Vpreb3" "Vpreb3"
"Hip1r" "ENSMUSG00000000915_Hip1r" "protein_coding" "5" "ENSMUSG00000000915" "Hip1r" "Hip1r"
"Nsun5" "ENSMUSG00000000916_Nsun5" "protein_coding" "5" "ENSMUSG00000000916" "Nsun5" "Nsun5"
"Top1mt" "ENSMUSG00000000934_Top1mt" "protein_coding" "15" "ENSMUSG00000000934" "Top1mt" "Top1mt"
"Hoxa10" "ENSMUSG00000000938_Hoxa10" "protein_coding" "6" "ENSMUSG00000000938" "Hoxa10" "Hoxa10"
"Gm38393" "ENSMUSG00000000948_Gm38393" "protein_coding" "7" "ENSMUSG00000000948" "Gm38393" "Gm38393"
"Mmp14" "ENSMUSG00000000957_Mmp14" "protein_coding" "14" "ENSMUSG00000000957" "Mmp14" "Mmp14"
"Slc7a7" "ENSMUSG00000000958_Slc7a7" "protein_coding" "14" "ENSMUSG00000000958" "Slc7a7" "Slc7a7"
"Oxa1l" "ENSMUSG00000000959_Oxa1l" "protein_coding" "14" "ENSMUSG00000000959" "Oxa1l" "Oxa1l"
"Heatr6" "ENSMUSG00000000976_Heatr6" "protein_coding" "11" "ENSMUSG00000000976" "Heatr6" "Heatr6"
"Ccl3" "ENSMUSG00000000982_Ccl3" "protein_coding" "11" "ENSMUSG00000000982" "Ccl3" "Ccl3"
"Wfdc18" "ENSMUSG00000000983_Wfdc18" "protein_coding" "11" "ENSMUSG00000000983" "Wfdc18" "Wfdc18"
"Icam4" "ENSMUSG00000001014_Icam4" "protein_coding" "9" "ENSMUSG00000001014" "Icam4" "Icam4"
"Ilf2" "ENSMUSG00000001016_Ilf2" "protein_coding" "3" "ENSMUSG00000001016" "Ilf2" "Ilf2"
"Chtop" "ENSMUSG00000001017_Chtop" "protein_coding" "3" "ENSMUSG00000001017" "Chtop" "Chtop"
"Snapin" "ENSMUSG00000001018_Snapin" "protein_coding" "3" "ENSMUSG00000001018" "Snapin" "Snapin"
"S100a4" "ENSMUSG00000001020_S100a4" "protein_coding" "3" "ENSMUSG00000001020" "S100a4" "S100a4"
"S100a3" "ENSMUSG00000001021_S100a3" "protein_coding" "3" "ENSMUSG00000001021" "S100a3" "S100a3"
"S100a6" "ENSMUSG00000001025_S100a6" "protein_coding" "3" "ENSMUSG00000001025" "S100a6" "S100a6"
"Scn4a" "ENSMUSG00000001027_Scn4a" "protein_coding" "11" "ENSMUSG00000001027" "Scn4a" "Scn4a"
"Icam2" "ENSMUSG00000001029_Icam2" "protein_coding" "11" "ENSMUSG00000001029" "Icam2" "Icam2"
"Mapk7" "ENSMUSG00000001034_Mapk7" "protein_coding" "11" "ENSMUSG00000001034" "Mapk7" "Mapk7"
"Epn2" "ENSMUSG00000001036_Epn2" "protein_coding" "11" "ENSMUSG00000001036" "Epn2" "Epn2"
"B9d1" "ENSMUSG00000001039_B9d1" "protein_coding" "11" "ENSMUSG00000001039" "B9d1" "B9d1"
"Sec24b" "ENSMUSG00000001052_Sec24b" "protein_coding" "3" "ENSMUSG00000001052" "Sec24b" "Sec24b"
"N4bp3" "ENSMUSG00000001053_N4bp3" "protein_coding" "11" "ENSMUSG00000001053" "N4bp3" "N4bp3"
"Rmnd5b" "ENSMUSG00000001054_Rmnd5b" "protein_coding" "11" "ENSMUSG00000001054" "Rmnd5b" "Rmnd5b"
"Nhp2" "ENSMUSG00000001056_Nhp2" "protein_coding" "11" "ENSMUSG00000001056" "Nhp2" "Nhp2"
"Vps9d1" "ENSMUSG00000001062_Vps9d1" "protein_coding" "8" "ENSMUSG00000001062" "Vps9d1" "Vps9d1"
"Zfp276" "ENSMUSG00000001065_Zfp276" "protein_coding" "8" "ENSMUSG00000001065" "Zfp276" "Zfp276"
"C1ql4" "ENSMUSG00000001076_C1ql4" "protein_coding" "15" "ENSMUSG00000001076" "C1ql4" "C1ql4"
"Mfsd10" "ENSMUSG00000001082_Mfsd10" "protein_coding" "5" "ENSMUSG00000001082" "Mfsd10" "Mfsd10"
"Luzp1" "ENSMUSG00000001089_Luzp1" "protein_coding" "4" "ENSMUSG00000001089" "Luzp1" "Luzp1"
"Slc13a2" "ENSMUSG00000001095_Slc13a2" "protein_coding" "11" "ENSMUSG00000001095" "Slc13a2" "Slc13a2"
"Kctd10" "ENSMUSG00000001098_Kctd10" "protein_coding" "5" "ENSMUSG00000001098" "Kctd10" "Kctd10"
"Poldip2" "ENSMUSG00000001100_Poldip2" "protein_coding" "11" "ENSMUSG00000001100" "Poldip2" "Poldip2"
"Sebox" "ENSMUSG00000001103_Sebox" "protein_coding" "11" "ENSMUSG00000001103" "Sebox" "Sebox"
"Ift20" "ENSMUSG00000001105_Ift20" "protein_coding" "11" "ENSMUSG00000001105" "Ift20" "Ift20"
"Col6a1" "ENSMUSG00000001119_Col6a1" "protein_coding" "10" "ENSMUSG00000001119" "Col6a1" "Col6a1"
"Pcbp3" "ENSMUSG00000001120_Pcbp3" "protein_coding" "10" "ENSMUSG00000001120" "Pcbp3" "Pcbp3"
"Lgals9" "ENSMUSG00000001123_Lgals9" "protein_coding" "11" "ENSMUSG00000001123" "Lgals9" "Lgals9"
"Araf" "ENSMUSG00000001127_Araf" "protein_coding" "X" "ENSMUSG00000001127" "Araf" "Araf"
"Cfp" "ENSMUSG00000001128_Cfp" "protein_coding" "X" "ENSMUSG00000001128" "Cfp" "Cfp"
"Timp1" "ENSMUSG00000001131_Timp1" "protein_coding" "X" "ENSMUSG00000001131" "Timp1" "Timp1"
"Uxt" "ENSMUSG00000001134_Uxt" "protein_coding" "X" "ENSMUSG00000001134" "Uxt" "Uxt"
"Cnnm3" "ENSMUSG00000001138_Cnnm3" "protein_coding" "1" "ENSMUSG00000001138" "Cnnm3" "Cnnm3"
"Lman2l" "ENSMUSG00000001143_Lman2l" "protein_coding" "1" "ENSMUSG00000001143" "Lman2l" "Lman2l"
"Mcm3ap" "ENSMUSG00000001150_Mcm3ap" "protein_coding" "10" "ENSMUSG00000001150" "Mcm3ap" "Mcm3ap"
"Pcnt" "ENSMUSG00000001151_Pcnt" "protein_coding" "10" "ENSMUSG00000001151" "Pcnt" "Pcnt"
"Ftcd" "ENSMUSG00000001155_Ftcd" "protein_coding" "10" "ENSMUSG00000001155" "Ftcd" "Ftcd"
"Mxd1" "ENSMUSG00000001156_Mxd1" "protein_coding" "6" "ENSMUSG00000001156" "Mxd1" "Mxd1"
"Gmcl1" "ENSMUSG00000001157_Gmcl1" "protein_coding" "6" "ENSMUSG00000001157" "Gmcl1" "Gmcl1"
"Snrnp27" "ENSMUSG00000001158_Snrnp27" "protein_coding" "6" "ENSMUSG00000001158" "Snrnp27" "Snrnp27"
"Oas1c" "ENSMUSG00000001166_Oas1c" "protein_coding" "5" "ENSMUSG00000001166" "Oas1c" "Oas1c"
"Ocrl" "ENSMUSG00000001173_Ocrl" "protein_coding" "X" "ENSMUSG00000001173" "Ocrl" "Ocrl"
"Calm1" "ENSMUSG00000001175_Calm1" "protein_coding" "12" "ENSMUSG00000001175" "Calm1" "Calm1"
"Agpat3" "ENSMUSG00000001211_Agpat3" "protein_coding" "10" "ENSMUSG00000001211" "Agpat3" "Agpat3"
"Slc26a3" "ENSMUSG00000001225_Slc26a3" "protein_coding" "12" "ENSMUSG00000001225" "Slc26a3" "Slc26a3"
"Sema6b" "ENSMUSG00000001227_Sema6b" "protein_coding" "17" "ENSMUSG00000001227" "Sema6b" "Sema6b"
"Uhrf1" "ENSMUSG00000001228_Uhrf1" "protein_coding" "17" "ENSMUSG00000001228" "Uhrf1" "Uhrf1"
"Dpp9" "ENSMUSG00000001229_Dpp9" "protein_coding" "17" "ENSMUSG00000001229" "Dpp9" "Dpp9"
"Ramp2" "ENSMUSG00000001240_Ramp2" "protein_coding" "11" "ENSMUSG00000001240" "Ramp2" "Ramp2"
"Lsr" "ENSMUSG00000001247_Lsr" "protein_coding" "7" "ENSMUSG00000001247" "Lsr" "Lsr"
"Gramd1a" "ENSMUSG00000001248_Gramd1a" "protein_coding" "7" "ENSMUSG00000001248" "Gramd1a" "Gramd1a"
"Hpn" "ENSMUSG00000001249_Hpn" "protein_coding" "7" "ENSMUSG00000001249" "Hpn" "Hpn"
"Gabrg1" "ENSMUSG00000001260_Gabrg1" "protein_coding" "5" "ENSMUSG00000001260" "Gabrg1" "Gabrg1"
"Ckb" "ENSMUSG00000001270_Ckb" "protein_coding" "12" "ENSMUSG00000001270" "Ckb" "Ckb"
"Sp1" "ENSMUSG00000001280_Sp1" "protein_coding" "15" "ENSMUSG00000001280" "Sp1" "Sp1"
